jmeno|prezdivka|pohlavi|vyska|vaha|narozeni|umrti|klub|stat|sport|hry1|udalost1|tym1|poradi1|medaile1|detail1|hry2|udalost2|tym2|poradi2|medaile2|detail2|hry3|udalost3|tym3|poradi3|medaile3|detail3|hry4|udalost4|tym4|poradi4|medaile4|detail4|hry5|udalost5|tym5|poradi5|medaile5|detail5|hry6|udalost6|tym6|poradi6|medaile6|detail6|hry7|udalost7|tym7|poradi7|medaile7|detail7|hry8|udalost8|tym8|poradi8|medaile8|detail8|hry9|udalost9|tym9|poradi9|medaile9|detail9|hry10|udalost10|tym10|poradi10|medaile10|detail10|hry11|udalost11|tym11|poradi11|medaile11|detail11|hry12|udalost12|tym12|poradi12|medaile12|detail12|hry13|udalost13|tym13|poradi13|medaile13|detail13|hry14|udalost14|tym14|poradi14|medaile14|detail14|hry15|udalost15|tym15|poradi15|medaile15|detail15|hry16|udalost16|tym16|poradi16|medaile16|detail16|hry17|udalost17|tym17|poradi17|medaile17|detail17|hry18|udalost18|tym18|poradi18|medaile18|detail18|hry19|udalost19|tym19|poradi19|medaile19|detail19|hry20|udalost20|tym20|poradi20|medaile20|detail20|hry21|udalost21|tym21|poradi21|medaile21|detail21|hry22|udalost22|tym22|poradi22|medaile22|detail22|hry23|udalost23|tym23|poradi23|medaile23|detail23|hry24|udalost24|tym24|poradi24
Antonín Hojer||Male|||1894-03-31|1964-10-21|Sparta Praha, Praha (CZE)|Czechoslovakia|Football|1920 Summer|Men's Football|Czechoslovakia|AC|||1924 Summer|Men's Football|Czechoslovakia|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
František Hojer||Male|||1895-01-21|1940-12-13|Sparta Praha, Praha (CZE)|Czechoslovakia|Football|1924 Summer|Men's Football|Czechoslovakia|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Hojný||Male|"5'10"" (178 cm)"|176 lbs (80 kg)|1958-12-02|||Czechoslovakia|Shooting|1980 Summer|Mixed Trap|Czechoslovakia|4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jindra Holá||Female|"5'4"" (163 cm)"|110 lbs (50 kg)|1960-10-02||USK Praha, Praha (CZE)|Czechoslovakia|Figure Skating|1984 Winter|Mixed Ice Dancing|Czechoslovakia|13||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jiří Holeček||Male|"5'11"" (181 cm)"|172 lbs (78 kg)|1944-03-18||HC Košice, Košice (SVK) / Sparta Praha, Praha (CZE)|Czechoslovakia|Ice Hockey|1972 Winter|Men's Ice Hockey|Czechoslovakia|3|Bronze||1976 Winter|Men's Ice Hockey|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Holeček||Male|||1921-01-25|2005-02-20||Czechoslovakia|Canoeing|1948 Summer|Men's Canadian Singles, 1,000 metres|Czechoslovakia|1|Gold||1952 Summer|Men's Canadian Singles, 1,000 metres|Czechoslovakia|1|Gold|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ondřej Holeček||Male|"6'4"" (193 cm)"|203 lbs (92 kg)|1973-10-14||Bohemians Praha, Praha (CZE)|Czechoslovakia|Rowing|1992 Summer|Men's Coxed Eights|Czechoslovakia|12||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Július Holeš||Male|"6'2"" (187 cm)"|185 lbs (84 kg)|1939-03-18||Lokomotíva Košice, Košice (SVK)|Czechoslovakia|Football|1968 Summer|Men's Football|Czechoslovakia|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alois Holík||Male|"6'1"" (185 cm)"|183 lbs (83 kg)|1947-09-23||Spartak Dubnica, Dubnica nad Váhom (SVK)|Czechoslovakia|Cycling|1972 Summer|Men's Road Race, Individual|Czechoslovakia|AC||DNF||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslav Holík||Male|"6'0"" (182 cm)"|174 lbs (79 kg)|1942-08-03||Dukla Jihlava, Jihlava (CZE)|Czechoslovakia|Ice Hockey|1972 Winter|Men's Ice Hockey|Czechoslovakia|3|Bronze|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
