jmeno|prezdivka|pohlavi|vyska|vaha|narozeni|umrti|klub|stat|sport|hry1|udalost1|tym1|poradi1|medaile1|detail1|hry2|udalost2|tym2|poradi2|medaile2|detail2|hry3|udalost3|tym3|poradi3|medaile3|detail3|hry4|udalost4|tym4|poradi4|medaile4|detail4|hry5|udalost5|tym5|poradi5|medaile5|detail5|hry6|udalost6|tym6|poradi6|medaile6|detail6|hry7|udalost7|tym7|poradi7|medaile7|detail7|hry8|udalost8|tym8|poradi8|medaile8|detail8|hry9|udalost9|tym9|poradi9|medaile9|detail9|hry10|udalost10|tym10|poradi10|medaile10|detail10|hry11|udalost11|tym11|poradi11|medaile11|detail11|hry12|udalost12|tym12|poradi12|medaile12|detail12|hry13|udalost13|tym13|poradi13|medaile13|detail13|hry14|udalost14|tym14|poradi14|medaile14|detail14|hry15|udalost15|tym15|poradi15|medaile15|detail15|hry16|udalost16|tym16|poradi16|medaile16|detail16|hry17|udalost17|tym17|poradi17|medaile17|detail17|hry18|udalost18|tym18|poradi18|medaile18|detail18|hry19|udalost19|tym19|poradi19|medaile19|detail19|hry20|udalost20|tym20|poradi20|medaile20|detail20|hry21|udalost21|tym21|poradi21|medaile21|detail21|hry22|udalost22|tym22|poradi22|medaile22|detail22|hry23|udalost23|tym23|poradi23|medaile23|detail23|hry24|udalost24|tym24|poradi24
Lubor Tesař||Male|"5'11"" (180 cm)"|161 lbs (73 kg)|1971-05-11||Dynamo, Plzeň/SKP Plzeň|Czechoslovakia|Cycling|1992 Summer|Men's Points Race|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Pavel Tesař||Male|"6'1"" (186 cm)"|174 lbs (79 kg)|1967-02-26||Dukla Praha, Praha (CZE)|Czechoslovakia|Cycling|1988 Summer|Men's Team Pursuit, 4,000 metres|Czechoslovakia|5|||1992 Summer|Men's Team Pursuit, 4,000 metres|Czechoslovakia|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslav Tetiva||Male|"6'5"" (196 cm)"|183 lbs (83 kg)|1932-02-04|||Czechoslovakia|Basketball|1960 Summer|Men's Basketball|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Emanuel Thiel||Male|||1883-05-01|1944-08-02||Czechoslovakia|Equestrianism|1924 Summer|Men's Dressage, Individual|Czechoslovakia|6|||1928 Summer|Men's Dressage, Individual|Czechoslovakia|5|||1928 Summer|Men's Dressage, Team|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Zdena Tichá||Female|"5'6"" (168 cm)"|137 lbs (62 kg)|1952-03-29|||Czechoslovakia|Rowing|1976 Summer|Women's Coxless Pairs|Czechoslovakia|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Martin Tichý||Male|"6'6"" (198 cm)"|212 lbs (96 kg)|1968-07-13|||Czechoslovakia|Rowing|1988 Summer|Men's Quadruple Sculls|Czechoslovakia|11||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
František Tikal||Male|"5'11"" (180 cm)"|181 lbs (82 kg)|1933-07-18|2008-08-10|Sparta Praha, Praha (CZE)|Czechoslovakia|Ice Hockey|1960 Winter|Men's Ice Hockey|Czechoslovakia|4|||1964 Winter|Men's Ice Hockey|Czechoslovakia|3|Bronze|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ladislav Tikal||Male|||1905-05-25|1980-06-30||Czechoslovakia|Gymnastics|1928 Summer|Men's Individual All-Around|Czechoslovakia|37|||1928 Summer|Men's Team All-Around|Czechoslovakia|2|Silver|non-scoring|1928 Summer|Men's Horse Vault|Czechoslovakia|32T |||1928 Summer|Men's Parallel Bars|Czechoslovakia|24|||1928 Summer|Men's Horizontal Bar|Czechoslovakia|50|||1928 Summer|Men's Rings|Czechoslovakia|41T |||1928 Summer|Men's Pommelled Horse|Czechoslovakia|49||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Oldřich Tikal||Male|"5'8"" (173 cm)"|172 lbs (78 kg)|1938-11-28|||Czechoslovakia|Rowing|1960 Summer|Men's Coxed Fours|Czechoslovakia|6 h1 r3/4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Tille||Male|||1891-04-27|||Czechoslovakia|Fencing|1924 Summer|Men's Épée, Individual|Czechoslovakia|8T  p6 r1/4|||1928 Summer|Men's Épée, Team|Czechoslovakia|5T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jindřich Tintěra||Male|||1901-02-07|||Czechoslovakia|Gymnastics|1936 Summer|Men's Individual All-Around|Czechoslovakia|38|||1936 Summer|Men's Team All-Around|Czechoslovakia|4|||1936 Summer|Men's Floor Exercise|Czechoslovakia|53|||1936 Summer|Men's Horse Vault|Czechoslovakia|22|||1936 Summer|Men's Parallel Bars|Czechoslovakia|32|||1936 Summer|Men's Horizontal Bar|Czechoslovakia|54|||1936 Summer|Men's Rings|Czechoslovakia|27T |||1936 Summer|Men's Pommelled Horse|Czechoslovakia|50||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Anton Tkáč||Male|"6'0"" (183 cm)"|179 lbs (81 kg)|1951-03-30||Slovan Bratislava, Bratislava (SVK) / Dukla Trenčín, Trenčín (SVK)|Czechoslovakia|Cycling|1972 Summer|Men's 1,000 metres Time Trial|Czechoslovakia|13|||1972 Summer|Men's Team Pursuit, 4,000 metres|Czechoslovakia|11 QR|||1976 Summer|Men's Sprint|Czechoslovakia|1|Gold||1980 Summer|Men's Sprint|Czechoslovakia|4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Adolfína Tkačíková-Tačová||Female|"5'2"" (158 cm)"|117 lbs (53 kg)|1939-04-19|||Czechoslovakia|Gymnastics|1960 Summer|Women's Individual All-Around|Czechoslovakia|14|||1960 Summer|Women's Team All-Around|Czechoslovakia|2|Silver||1960 Summer|Women's Floor Exercise|Czechoslovakia|17 QR|||1960 Summer|Women's Horse Vault|Czechoslovakia|4|||1960 Summer|Women's Uneven Bars|Czechoslovakia|37T  QR|||1960 Summer|Women's Balance Beam|Czechoslovakia|15 QR|||1964 Summer|Women's Individual All-Around|Czechoslovakia|16T |||1964 Summer|Women's Team All-Around|Czechoslovakia|2|Silver||1964 Summer|Women's Floor Exercise|Czechoslovakia|21T  QR|||1964 Summer|Women's Horse Vault|Czechoslovakia|10T  QR|||1964 Summer|Women's Uneven Bars|Czechoslovakia|18 QR|||1964 Summer|Women's Balance Beam|Czechoslovakia|11T  QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Július Toček||Male|"6'2"" (188 cm)"|190 lbs (86 kg)|1939-09-29|2004-10-07||Czechoslovakia|Rowing|1964 Summer|Men's Coxed Eights|Czechoslovakia|3|Bronze|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ladislav Toman|Cikán, Gumák|Male|"6'1"" (185 cm)"|190 lbs (86 kg)|1934-07-13||Lokomotiva Praha, Praha (CZE)|Czechoslovakia|Volleyball|1964 Summer|Men's Volleyball|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ladislav Toman||Male|||1894-09-16|1935-05-29||Czechoslovakia|Art Competitions|1936 Summer|Mixed Sculpturing, Unknown Event|Czechoslovakia|AC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslav Tomáš|Justy|Male|"6'2"" (188 cm)"|185 lbs (84 kg)|1949-02-10||Dukla Liberec, Liberec (CZE)|Czechoslovakia|Volleyball|1972 Summer|Men's Volleyball|Czechoslovakia|6|||1976 Summer|Men's Volleyball|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Tomáš||Male||161 lbs (73 kg)|1898|||Czechoslovakia|Weightlifting|1924 Summer|Men's Middleweight|Czechoslovakia|15||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Tomáš||Male|"5'10"" (177 cm)"|148 lbs (67 kg)|1934-03-12||Spartak Hradec Králové, Hradec Králové (CZE)|Czechoslovakia|Athletics|1964 Summer|Men's 5,000 metres|Czechoslovakia|5 h3 r1/2|||1964 Summer|Men's 10,000 metres|Czechoslovakia|17||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Bohumil Tomášek||Male|"6'6"" (199 cm)"|212 lbs (96 kg)|1936-06-21|||Czechoslovakia|Basketball|1960 Summer|Men's Basketball|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Tomášek||Male|||1904-03-10|1979-04-15||Czechoslovakia|Water Polo|1924 Summer|Men's Water Polo|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Rudolf Tomášek||Male|"5'10"" (177 cm)"|159 lbs (72 kg)|1937-08-11||RH Praha, Praha (CZE)|Czechoslovakia|Athletics|1960 Summer|Men's Pole Vault|Czechoslovakia|8|||1964 Summer|Men's Pole Vault|Czechoslovakia|6||OR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Irena Tomašovičová (-Slezáková)||Female|"5'8"" (172 cm)"|154 lbs (70 kg)|1964-11-12||Iskra Partizánske, Partizánske (SVK)|Czechoslovakia|Handball|1988 Summer|Women's Handball|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Toms||Male|||1922-01-26|||Czechoslovakia|Basketball|1948 Summer|Men's Basketball|Czechoslovakia|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Michal Tonar||Male|"6'3"" (190 cm)"|192 lbs (87 kg)|1969-09-23||HK, Kópavogur (ISL)|Czechoslovakia|Handball|1992 Summer|Men's Handball|Czechoslovakia|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jozef Töre||Male|"5'6"" (168 cm)"|132 lbs (60 kg)|1933-06-18|||Czechoslovakia|Boxing|1960 Summer|Men's Lightweight|Czechoslovakia|17T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Július Torma||Male|||1922-03-07|1991-10-23|Dukla Praha, Praha (CZE)|Czechoslovakia|Boxing|1948 Summer|Men's Welterweight|Czechoslovakia|1|Gold||1952 Summer|Men's Welterweight|Czechoslovakia|5T |||1956 Summer|Men's Middleweight|Czechoslovakia|5T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Vojtech Tóth||Male|"5'4"" (163 cm)"|137 lbs (62 kg)|1938-11-16|||Czechoslovakia|Wrestling|1960 Summer|Men's Featherweight, Greco-Roman|Czechoslovakia|6T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jiří Tožička||Male|||1901-11-14|1981-05-15|LTC Praha, Praha (CZE)|Czechoslovakia|Ice Hockey|1928 Winter|Men's Ice Hockey|Czechoslovakia|5T |||1936 Winter|Men's Ice Hockey|Czechoslovakia|4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Daniela Trandžíková-Nováková||Female|"5'7"" (171 cm)"|150 lbs (68 kg)|1956-10-26||MŠK Hlohovec, Hlohovec (SVK) / ZVL Prešov, Prešov (SVK)|Czechoslovakia|Handball|1980 Summer|Women's Handball|Czechoslovakia|5|||1988 Summer|Women's Handball|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Aleš Trčka||Male|"5'11"" (180 cm)"|165 lbs (75 kg)|1961-08-14|||Czechoslovakia|Cycling|1988 Summer|Men's Team Pursuit, 4,000 metres|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Karel Třešňák||Male|"6'2"" (187 cm)"|181 lbs (82 kg)|1949-02-21|||Czechoslovakia|Canoeing|1972 Summer|Men's Canadian Singles, Slalom|Czechoslovakia|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Igor Treybal||Male|||1930-03-27|||Czechoslovakia|Shooting|1952 Summer|Men's Trap|Czechoslovakia|19|||1956 Summer|Men's Trap|Czechoslovakia|25||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
František Trkal||Male|"5'11"" (180 cm)"|159 lbs (72 kg)|1970-04-10||Choceň/Lanškroun|Czechoslovakia|Cycling|1992 Summer|Men's Road Race, Individual|Czechoslovakia|25|||1992 Summer|Men's 100 kilometres Team Time Trial|Czechoslovakia|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Trmal||Male|"5'6"" (168 cm)"|146 lbs (66 kg)|1932-03-12|||Czechoslovakia|Gymnastics|1960 Summer|Men's Individual All-Around|Czechoslovakia|33T |||1960 Summer|Men's Team All-Around|Czechoslovakia|4|||1960 Summer|Men's Floor Exercise|Czechoslovakia|30T  QR|||1960 Summer|Men's Horse Vault|Czechoslovakia|26T  QR|||1960 Summer|Men's Parallel Bars|Czechoslovakia|60T  QR|||1960 Summer|Men's Horizontal Bar|Czechoslovakia|65T  QR|||1960 Summer|Men's Rings|Czechoslovakia|16T  QR|||1960 Summer|Men's Pommelled Horse|Czechoslovakia|42T  QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ladislav Troják||Male|"5'11"" (180 cm)"|183 lbs (83 kg)|1914-06-15|1948-11-08|LTC Praha, Praha (CZE)|Czechoslovakia|Ice Hockey|1936 Winter|Men's Ice Hockey|Czechoslovakia|4|||1948 Winter|Men's Ice Hockey|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Trousil||Male|"6'0"" (182 cm)"|154 lbs (70 kg)|1935-02-02||USK Praha, Praha (CZE) / RH Praha, Praha (CZE)|Czechoslovakia|Athletics|1956 Summer|Men's 200 metres|Czechoslovakia|4 h3 r1/4|||1956 Summer|Men's 4 × 400 metres Relay|Czechoslovakia|3 h1 r1/2|||1960 Summer|Men's 400 metres|Czechoslovakia|4 h1 r1/4|||1960 Summer|Men's 4 × 400 metres Relay|Czechoslovakia|4 h4 r1/3|||1964 Summer|Men's 400 metres|Czechoslovakia|5 h2 r2/4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Trousílek||Male|||1918-03-16|1990-10-10|LTC Praha, Praha (CZE)|Czechoslovakia|Ice Hockey|1948 Winter|Men's Ice Hockey|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ladislav Trpkoš||Male|||1915-01-17|||Czechoslovakia|Basketball|1936 Summer|Men's Basketball|Czechoslovakia|9T |||1948 Summer|Men's Basketball|Czechoslovakia|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslav Tuček (Šourek)||Male|||1882-08-24|||Czechoslovakia|Fencing|1908 Summer|Men's Épée, Individual|Bohemia|5 p7 r2/4|||1908 Summer|Men's Sabre, Individual|Bohemia|5T  p1 r1/4|||1908 Summer|Men's Sabre, Team|Bohemia|3|Bronze||1920 Summer|Men's Sabre, Individual|Czechoslovakia|7T  p5 r1/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Václav Tuhý||Male||||||Czechoslovakia|Wrestling|1948 Summer|Men's Lightweight, Greco-Roman|Czechoslovakia|AC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Karel Tůma||Male|||1885|||Czechoslovakia|Modern Pentathlon|1924 Summer|Men's Individual|Czechoslovakia|37||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Stanislav Tůma||Male|"5'5"" (165 cm)"|137 lbs (62 kg)|1948-09-05|||Czechoslovakia|Wrestling|1972 Summer|Men's Featherweight, Freestyle|Czechoslovakia|AC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaromír Turnovský||Male|||1912-08-30|||Czechoslovakia|Speed Skating|1936 Winter|Men's 500 metres|Czechoslovakia|30|||1936 Winter|Men's 1,500 metres|Czechoslovakia|31|||1936 Winter|Men's 5,000 metres|Czechoslovakia|32||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jozef Turza||Male|"5'11"" (181 cm)"|181 lbs (82 kg)|1972-07-24||Spartak, Komárno/Dukla Praha|Czechoslovakia|Canoeing|1992 Summer|Men's Kayak Fours, 1,000 metres|Czechoslovakia|4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Vilém Tvrzský||Male|||1880|||Czechoslovakia|Fencing|1908 Summer|Men's Épée, Individual|Bohemia|3T  p4 r2/4|||1908 Summer|Men's Épée, Team|Bohemia|5T |||1908 Summer|Men's Sabre, Individual|Bohemia|4 p4 r2/4|||1912 Summer|Men's Foil, Individual|Bohemia|6 p1 r3/4|||1912 Summer|Men's Épée, Individual|Bohemia|AC p3 r1/4||DQ|1920 Summer|Men's Foil, Individual|Czechoslovakia|6 p2 r2/3|||1920 Summer|Men's Foil, Team|Czechoslovakia|6T |||1920 Summer|Men's Épée, Individual|Czechoslovakia|9 p8 r1/4|||1920 Summer|Men's Sabre, Individual|Czechoslovakia|7 p2 r1/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
František Týř||Male||||||Czechoslovakia|Tennis|1920 Summer|Men's Doubles|Czechoslovakia-1|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Walter Ullrich||Male|||1912-06-15|1965-07-05||Czechoslovakia|Ice Hockey|1936 Winter|Men's Ice Hockey|Czechoslovakia|4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Anton Urban||Male|"5'9"" (175 cm)"|163 lbs (74 kg)|1934-01-16||Slovan Bratislava, Bratislava (SVK)|Czechoslovakia|Football|1964 Summer|Men's Football|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Horst Urban||Male|"5'9"" (174 cm)"|181 lbs (82 kg)|1936-05-15|2010-03-02||Czechoslovakia|Luge|1964 Winter|Men's Singles|Czechoslovakia|12|||1964 Winter|Mixed (Men)'s Doubles|Czechoslovakia-2|12|||1968 Winter|Men's Singles|Czechoslovakia|24|||1968 Winter|Mixed (Men)'s Doubles|Czechoslovakia-1|12||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Urban||Male|"6'0"" (183 cm)"||1899-06-17|1968-09-02||Czechoslovakia|Wrestling|1928 Summer|Men's Heavyweight, Greco-Roman|Czechoslovakia|5|||1932 Summer|Men's Heavyweight, Greco-Roman|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Urban||Male|||1960-08-08|||Czechoslovakia|Luge|1988 Winter|Men's Singles|Czechoslovakia|16|||1988 Winter|Mixed (Men)'s Doubles|Czechoslovakia|13|||1992 Winter|Men's Singles|Czechoslovakia|19|||1992 Winter|Mixed (Men)'s Doubles|Czechoslovakia|15||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Roland Urban||Male|"5'9"" (175 cm)"|172 lbs (78 kg)|1940-03-29|||Czechoslovakia|Luge|1964 Winter|Men's Singles|Czechoslovakia|AC||DNF|1964 Winter|Mixed (Men)'s Doubles|Czechoslovakia-2|12|||1968 Winter|Men's Singles|Czechoslovakia|27|||1968 Winter|Mixed (Men)'s Doubles|Czechoslovakia-1|12||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Marta Urbanová (-Daňhelová)||Female|"5'5"" (166 cm)"|130 lbs (59 kg)|1960-10-14||Slavia Praha, Praha (CZE)|Czechoslovakia|Hockey|1980 Summer|Women's Hockey|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Eduard Uvíra||Male|"6'0"" (183 cm)"|203 lbs (92 kg)|1961-07-12||HC Litvínov, Litvínov (CZE) / Slovan Bratislava, Bratislava (SVK)|Czechoslovakia|Ice Hockey|1984 Winter|Men's Ice Hockey|Czechoslovakia|2|Silver||1988 Winter|Men's Ice Hockey|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ludvík Vacátko||Male|||1873-08-19|1956-11-26||Czechoslovakia|Art Competitions|1932 Summer|Mixed Painting, Unknown Event|Czechoslovakia|AC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Vacek||Male|||1900-07-18|||Czechoslovakia|Weightlifting|1928 Summer|Men's Featherweight|Czechoslovakia|8T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ladislav Vácha||Male|||1899-03-21|1943-06-28||Czechoslovakia|Gymnastics|1920 Summer|Men's Team All-Around|Czechoslovakia|4|||1924 Summer|Men's Individual All-Around|Czechoslovakia|6|||1924 Summer|Men's Team All-Around|Czechoslovakia|AC||DNF|1924 Summer|Men's Horse Vault|Czechoslovakia|10|||1924 Summer|Men's Parallel Bars|Czechoslovakia|6|||1924 Summer|Men's Horizontal Bar|Czechoslovakia|39|||1924 Summer|Men's Rings|Czechoslovakia|3|Bronze||1924 Summer|Men's Pommelled Horse|Czechoslovakia|17|||1924 Summer|Men's Rope Climbing|Czechoslovakia|3T |Bronze||1924 Summer|Men's Side Horse|Czechoslovakia|6T |||1928 Summer|Men's Individual All-Around|Czechoslovakia|9|||1928 Summer|Men's Team All-Around|Czechoslovakia|2|Silver||1928 Summer|Men's Horse Vault|Czechoslovakia|18T |||1928 Summer|Men's Parallel Bars|Czechoslovakia|1|Gold||1928 Summer|Men's Horizontal Bar|Czechoslovakia|12|||1928 Summer|Men's Rings|Czechoslovakia|2|Silver||1928 Summer|Men's Pommelled Horse|Czechoslovakia|45||||||||||||||||||||||||||||||||||||||||||
Marcela Váchová||Female|"5'3"" (161 cm)"|115 lbs (52 kg)|1953-07-06|||Czechoslovakia|Gymnastics|1972 Summer|Women's Individual All-Around|Czechoslovakia|35T  QR|||1972 Summer|Women's Team All-Around|Czechoslovakia|5|||1972 Summer|Women's Floor Exercise|Czechoslovakia|59T  QR|||1972 Summer|Women's Horse Vault|Czechoslovakia|16T  QR|||1972 Summer|Women's Uneven Bars|Czechoslovakia|26T  QR|||1972 Summer|Women's Balance Beam|Czechoslovakia|37T  QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
František Vacín||Male|||1893-05-25|1965-11-09||Czechoslovakia|Water Polo|1924 Summer|Men's Water Polo|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Vladimír Vačkář||Male|"6'0"" (182 cm)"|181 lbs (82 kg)|1949-02-06|||Czechoslovakia|Cycling|1972 Summer|Men's Sprint|Czechoslovakia|2 h2 r7/10||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Rostislav Václavíček||Male|"6'3"" (190 cm)"|192 lbs (87 kg)|1946-12-07||1. FC Brno, Brno (CZE)|Czechoslovakia|Football|1980 Summer|Men's Football|Czechoslovakia|1|Gold|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Václavík||Male|||1900-05-04|||Czechoslovakia|Art Competitions|1936 Summer|Mixed Architecture, Unknown Event|Czechoslovakia|AC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Stanislav Vagaský||Male|"5'5"" (165 cm)"|112 lbs (51 kg)|1974-08-16||Lokomotiva Agrostav Vranov|Czechoslovakia|Boxing|1992 Summer|Men's Flyweight|Czechoslovakia|17T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jindřich Vágner||Male|"6'0"" (184 cm)"|187 lbs (85 kg)|1943-09-19|||Czechoslovakia|Swimming|1964 Summer|Men's 100 metres Freestyle|Czechoslovakia|5 h2 r2/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
