jmeno|prezdivka|pohlavi|vyska|vaha|narozeni|umrti|klub|stat|sport|hry1|udalost1|tym1|poradi1|medaile1|detail1|hry2|udalost2|tym2|poradi2|medaile2|detail2|hry3|udalost3|tym3|poradi3|medaile3|detail3|hry4|udalost4|tym4|poradi4|medaile4|detail4|hry5|udalost5|tym5|poradi5|medaile5|detail5|hry6|udalost6|tym6|poradi6|medaile6|detail6|hry7|udalost7|tym7|poradi7|medaile7|detail7|hry8|udalost8|tym8|poradi8|medaile8|detail8|hry9|udalost9|tym9|poradi9|medaile9|detail9|hry10|udalost10|tym10|poradi10|medaile10|detail10|hry11|udalost11|tym11|poradi11|medaile11|detail11|hry12|udalost12|tym12|poradi12|medaile12|detail12|hry13|udalost13|tym13|poradi13|medaile13|detail13|hry14|udalost14|tym14|poradi14|medaile14|detail14|hry15|udalost15|tym15|poradi15|medaile15|detail15|hry16|udalost16|tym16|poradi16|medaile16|detail16|hry17|udalost17|tym17|poradi17|medaile17|detail17|hry18|udalost18|tym18|poradi18|medaile18|detail18|hry19|udalost19|tym19|poradi19|medaile19|detail19|hry20|udalost20|tym20|poradi20|medaile20|detail20|hry21|udalost21|tym21|poradi21|medaile21|detail21|hry22|udalost22|tym22|poradi22|medaile22|detail22|hry23|udalost23|tym23|poradi23|medaile23|detail23|hry24|udalost24|tym24|poradi24
Petr Lazar||Male|"6'1"" (185 cm)"|176 lbs (80 kg)|1976-07-02||Dukla Praha, Praha (CZE)|Czech Republic|Cycling|2004 Summer|Men's Madison|Czech Republic|13||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Martin Lébl|Tony|Male|"6'7"" (201 cm)"|223 lbs (101 kg)|1980-04-12||adidas/Molten/O'Neil|Czech Republic|Beach Volleyball|2000 Summer|Men's Beach Volleyball|Czech Republic|17T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Lenka Ledvinová||Female|"6'0"" (183 cm)"|181 lbs (82 kg)|1985-08-11||PSK Olymp Praha, Praha (CZE)|Czech Republic|Athletics|2008 Summer|Women's Hammer Throw|Czech Republic|26 QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Roman Lengyel||Male|"6'4"" (192 cm)"|192 lbs (87 kg)|1978-11-03||Sparta Praha, Praha (CZE)|Czech Republic|Football|2000 Summer|Men's Football|Czech Republic|14||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Karel Leština||Male|"5'11"" (180 cm)"|176 lbs (80 kg)|1973-03-23|||Czech Republic|Canoeing|1996 Summer|Men's Kayak Doubles, 500 metres|Czech Republic|7 h1r3/4|||1996 Summer|Men's Kayak Fours, 1,000 metres|Czech Republic|5 h1r2/3|||2000 Summer|Men's Kayak Fours, 1,000 metres|Czech Republic|4 h1r2/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jiří Lipták||Male|"6'4"" (192 cm)"|254 lbs (115 kg)|1982-03-30|||Czech Republic|Shooting|2012 Summer|Men's Trap|Czech Republic|18||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Kateřina Losmanová-Holubcová||Female|"5'6"" (168 cm)"|121 lbs (55 kg)|1976-06-28||SKP Jablonex, Jablonec nad Nisou (CZE)|Czech Republic|Biathlon|1998 Winter|Women's 7.5 kilometres Sprint|Czech Republic|57|||1998 Winter|Women's 15 kilometres|Czech Republic|44|||1998 Winter|Women's 4 × 7.5 kilometres Relay|Czech Republic|6|||2002 Winter|Women's 7.5 kilometres Sprint|Czech Republic|39|||2002 Winter|Women's 10 kilometres Pursuit|Czech Republic|22|||2002 Winter|Women's 15 kilometres|Czech Republic|19|||2002 Winter|Women's 4 × 7.5 kilometres Relay|Czech Republic|8|||2006 Winter|Women's 7.5 kilometres Sprint|Czech Republic|39|||2006 Winter|Women's 10 kilometres Pursuit|Czech Republic|24|||2006 Winter|Women's 15 kilometres|Czech Republic|45|||2006 Winter|Women's 4 × 6 kilometres Relay|Czech Republic|13||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Kristina Ludíková-Gavnholt||Female|"5'10"" (177 cm)"|152 lbs (69 kg)|1988-09-12||TJ Sokol Jehnice, Brno (CZE)|Czech Republic|Badminton|2008 Summer|Women's Singles|Czech Republic|17T |||2012 Summer|Women's Singles|Czech Republic|17T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Milan Mach||Male|"5'6"" (168 cm)"|134 lbs (61 kg)|1972-02-17|||Czech Republic|Shooting|1996 Summer|Men's Small-Bore Rifle, Prone, 50 metres|Czech Republic|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Tomáš Máder||Male|"5'5"" (165 cm)"|150 lbs (68 kg)|1974-04-18||USK Praha, Praha (CZE)|Czech Republic|Canoeing|2000 Summer|Men's Canadian Doubles, Slalom|Czech Republic|3|Bronze||2004 Summer|Men's Canadian Doubles, Slalom|Czech Republic|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jiří Magál||Male|"5'9"" (176 cm)"|150 lbs (68 kg)|1977-04-11||Dukla Liberec, Liberec (CZE)|Czech Republic|Cross Country Skiing|1998 Winter|Men's 30 kilometres|Czech Republic|22|||1998 Winter|Men's 50 kilometres|Czech Republic|47|||1998 Winter|Men's 4 × 10 kilometres Relay|Czech Republic|15|||2002 Winter|Men's 15 kilometres|Czech Republic|29|||2002 Winter|Men's 30 kilometres|Czech Republic|43|||2002 Winter|Men's 50 kilometres|Czech Republic|19|||2002 Winter|Men's 4 × 10 kilometres Relay|Czech Republic|7|||2006 Winter|Men's 50 kilometres|Czech Republic|8|||2006 Winter|Men's 30 km Skiathlon|Czech Republic|14|||2006 Winter|Men's 4 × 10 kilometres Relay|Czech Republic|9|||2010 Winter|Men's 50 kilometres|Czech Republic|29|||2010 Winter|Men's 30 km Skiathlon|Czech Republic|38|||2010 Winter|Men's 4 × 10 kilometres Relay|Czech Republic|3|Bronze|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Michal Maier||Male|"6'2"" (188 cm)"|214 lbs (97 kg)|1964-05-07||YCR Jachting Roudnice nad Lebem|Czech Republic|Sailing|1996 Summer|Men's One Person Dinghy|Czech Republic|14|||2000 Summer|Men's One Person Dinghy|Czech Republic|19|||2004 Summer|Men's One Person Dinghy|Czech Republic|15|||2008 Summer|Mixed One Person Dinghy|Czech Republic|25|||2012 Summer|Men's One Person Heavyweight Dinghy|Czech Republic|21||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
František Máka||Male|"5'9"" (174 cm)"|154 lbs (70 kg)|1968-09-27|||Czech Republic|Nordic Combined|1992 Winter|Men's Team|Czechoslovakia|6|||1992 Winter|Men's Individual|Czechoslovakia|15|||1994 Winter|Men's Team|Czech Republic|5|||1994 Winter|Men's Individual|Czech Republic|18||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslav Makohin||Male|"5'5"" (164 cm)"|134 lbs (61 kg)|1976-06-06|||Czech Republic|Diving|2000 Summer|Men's Springboard|Czech Republic|39||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jakub Makovička||Male|"6'6"" (197 cm)"|220 lbs (100 kg)|1981-03-07||Dukla Praha, Praha (CZE)|Czech Republic|Rowing|2004 Summer|Men's Coxless Fours|Czech Republic|8|||2008 Summer|Men's Coxless Pairs|Czech Republic|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Vladimíra Malátová-Racková (Palyzová-)||Female|"5'11"" (180 cm)"|187 lbs (85 kg)|1967-05-15||Sparta Praha, Praha (CZE)|Czech Republic|Athletics|1992 Summer|Women's Discus Throw|Czechoslovakia|18 QR|||2000 Summer|Women's Discus Throw|Czech Republic|14 QR|||2004 Summer|Women's Discus Throw|Czech Republic|33 QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Václav Maleček||Male|"6'1"" (186 cm)"|161 lbs (73 kg)|1974-04-21||Dukla Praha, Praha (CZE)|Czech Republic|Rowing|2004 Summer|Men's Lightweight Double Sculls|Czech Republic|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Daniel Málek||Male|"6'3"" (190 cm)"|183 lbs (83 kg)|1973-05-25||SK Zlín|Czech Republic|Swimming|1996 Summer|Men's 100 metres Breaststroke|Czech Republic|10|||1996 Summer|Men's 200 metres Breaststroke|Czech Republic|18|||2000 Summer|Men's 100 metres Breaststroke|Czech Republic|5|||2000 Summer|Men's 200 metres Breaststroke|Czech Republic|5|||2004 Summer|Men's 100 metres Breaststroke|Czech Republic|28|||2004 Summer|Men's 200 metres Breaststroke|Czech Republic|30||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Málek||Male|"5'9"" (175 cm)"|172 lbs (78 kg)|1961-11-26||Kometa Brno|Czech Republic|Shooting|1988 Summer|Mixed Skeet|Czechoslovakia|20T |||2000 Summer|Men's Skeet|Czech Republic|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Marek Malík||Male|"6'5"" (196 cm)"|227 lbs (103 kg)|1975-06-24||New York Rangers, New York (USA)|Czech Republic|Ice Hockey|2006 Winter|Men's Ice Hockey|Czech Republic|3|Bronze|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Libor Malina||Male|"6'4"" (192 cm)"|265 lbs (120 kg)|1973-06-14||PSK Olymp Praha, Praha (CZE)|Czech Republic|Athletics|2000 Summer|Men's Discus Throw|Czech Republic|25 QR|||2004 Summer|Men's Discus Throw|Czech Republic|10||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"Tomáš ""Tom"" Malina"||Male|"6'0"" (183 cm)"|161 lbs (73 kg)|1978-09-14||TJ Klínovec|Czech Republic|Sailing|2004 Summer|Men's Windsurfer|Czech Republic|31||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jiří Malysa||Male|"5'11"" (180 cm)"|154 lbs (70 kg)|1966-08-14||SK Nové Mešto nad Metují|Czech Republic|Athletics|1996 Summer|Men's 20 kilometres Walk|Czech Republic|25|||2000 Summer|Men's 20 kilometres Walk|Czech Republic|19|||2004 Summer|Men's 20 kilometres Walk|Czech Republic|AC||DQ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Lenka Maňhalová||Female|"5'7"" (171 cm)"|139 lbs (63 kg)|1974-10-28||Slávia OD Liberec|Czech Republic|Swimming|1992 Summer|Women's 100 metres Breaststroke|Czechoslovakia|29|||1992 Summer|Women's 200 metres Individual Medley|Czechoslovakia|24|||1996 Summer|Women's 100 metres Breaststroke|Czech Republic|29|||1996 Summer|Women's 200 metres Breaststroke|Czech Republic|11|||1996 Summer|Women's 200 metres Individual Medley|Czech Republic|20|||1996 Summer|Women's 4 × 100 metres Medley Relay|Czech Republic|20||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Marcell||Male|"6'6"" (197 cm)"|258 lbs (117 kg)|1985-06-04||PSK Olymp Praha, Praha (CZE)|Czech Republic|Athletics|2008 Summer|Men's Discus Throw|Czech Republic|28 QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Kateřina Marešová||Female|"5'3"" (161 cm)"|108 lbs (49 kg)|1984-01-27||Sokol Brno|Czech Republic|Gymnastics|2000 Summer|Women's Individual All-Around|Czech Republic|63 QR|||2000 Summer|Women's Floor Exercise|Czech Republic|82 QR|||2000 Summer|Women's Horse Vault|Czech Republic|83 QR|||2000 Summer|Women's Uneven Bars|Czech Republic|72 QR|||2000 Summer|Women's Balance Beam|Czech Republic|36T  QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Oldřiška Marešová||Female|"6'2"" (189 cm)"|152 lbs (69 kg)|1986-10-14|||Czech Republic|Athletics|2012 Summer|Women's High Jump|Czech Republic|29T  r1/2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Gabriela Martinovová||Female|"5'8"" (172 cm)"|141 lbs (64 kg)|1981-11-14||Dukla Liberec, Liberec (CZE)|Czech Republic|Alpine Skiing|2002 Winter|Women's Downhill|Czech Republic|30|||2002 Winter|Women's Super G|Czech Republic|AC||DNF|2002 Winter|Women's Combined|Czech Republic|23||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ivan Masařík||Male|"5'11"" (181 cm)"|154 lbs (70 kg)|1967-09-14||SKP Jablonex, Jablonec nad Nisou (CZE)|Czech Republic|Biathlon|1992 Winter|Men's 10 kilometres Sprint|Czechoslovakia|12|||1992 Winter|Men's 20 kilometres|Czechoslovakia|66|||1992 Winter|Men's 4 × 7.5 kilometres Relay|Czechoslovakia|7|||1994 Winter|Men's 20 kilometres|Czech Republic|34|||1994 Winter|Men's 4 × 7.5 kilometres Relay|Czech Republic|12|||1998 Winter|Men's 10 kilometres Sprint|Czech Republic|15|||1998 Winter|Men's 20 kilometres|Czech Republic|4|||1998 Winter|Men's 4 × 7.5 kilometres Relay|Czech Republic|14|||2002 Winter|Men's 20 kilometres|Czech Republic|42|||2002 Winter|Men's 4 × 7.5 kilometres Relay|Czech Republic|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Vladimír Maška||Male|"6'4"" (192 cm)"|260 lbs (118 kg)|1973-02-06||LIAZ Jablonec, Jablonec nad Nisou (CZE)|Czech Republic|Athletics|2000 Summer|Men's Hammer Throw|Czech Republic|8|||2004 Summer|Men's Hammer Throw|Czech Republic|29 QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Pavel Maslák||Male|"5'9"" (176 cm)"|148 lbs (67 kg)|1991-02-21|||Czech Republic|Athletics|2012 Summer|Men's 200 metres|Czech Republic|4 h5 r1/3|||2012 Summer|Men's 400 metres|Czech Republic|5 h1 r2/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Lenka Masná||Female|"5'7"" (170 cm)"|121 lbs (55 kg)|1985-04-22|||Czech Republic|Athletics|2012 Summer|Women's 800 metres|Czech Republic|5 h5 r1/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Matura||Male|"5'9"" (174 cm)"|141 lbs (64 kg)|1980-01-29||ASVS Dukla Liberec|Czech Republic|Nordic Combined|1998 Winter|Men's Team|Czech Republic|8|||1998 Winter|Men's Individual|Czech Republic|35|||2002 Winter|Men's Normal Hill, Individual|Czech Republic|47|||2002 Winter|Men's Large Hill, Individual|Czech Republic|37 r1/2|||2002 Winter|Men's Large Hill, Team|Czech Republic|12|||2006 Winter|Men's Normal Hill, Individual|Czech Republic|21T |||2006 Winter|Men's Large Hill, Individual|Czech Republic|22|||2006 Winter|Men's Large Hill, Team|Czech Republic|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Tomáš Matykiewicz||Male|"5'11"" (180 cm)"|231 lbs (105 kg)|1982-12-04||Haviřov|Czech Republic|Weightlifting|2004 Summer|Men's Heavyweight|Czech Republic|13||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Marcel Maxa||Male|"6'0"" (184 cm)"|194 lbs (88 kg)|1974-10-20|||Czech Republic|Alpine Skiing|1998 Winter|Men's Giant Slalom|Czech Republic|29T |||1998 Winter|Men's Slalom|Czech Republic|AC||DNF|1998 Winter|Men's Combined|Czech Republic|AC||DQ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Mazoch||Male|"5'10"" (179 cm)"|148 lbs (67 kg)|1985-09-05||Frenštát p. Radhoštěm/TJ Dukla Liberec|Czech Republic|Ski Jumping|2002 Winter|Men's Normal Hill, Individual|Czech Republic|35|||2002 Winter|Men's Large Hill, Individual|Czech Republic|36|||2002 Winter|Men's Large Hill, Team|Czech Republic|12|||2006 Winter|Men's Normal Hill, Individual|Czech Republic|36T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Lukáš Melich||Male|"6'1"" (186 cm)"|243 lbs (110 kg)|1980-09-16||Dukla Praha, Praha (CZE)|Czech Republic|Athletics|2008 Summer|Men's Hammer Throw|Czech Republic|29 QR|||2012 Summer|Men's Hammer Throw|Czech Republic|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Miroslav Menc||Male|"6'6"" (197 cm)"|287 lbs (130 kg)|1971-03-16||LIAZ Jablonec, Jablonec nad Nisou (CZE)|Czech Republic|Athletics|1996 Summer|Men's Shot Put|Czech Republic|21 QR|||2000 Summer|Men's Shot Put|Czech Republic|10||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Adam Michálek||Male|"6'1"" (186 cm)"|181 lbs (82 kg)|1975-04-08||Dukla Praha, Praha (CZE)|Czech Republic|Rowing|1996 Summer|Men's Lightweight Double Sculls|Czech Republic|13|||2004 Summer|Men's Coxless Pairs|Czech Republic|3 h1 r2/4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Milan Michálek||Male|"6'2"" (188 cm)"|225 lbs (102 kg)|1984-12-07||Ottawa Senators, Ottawa (CAN)|Czech Republic|Ice Hockey|2010 Winter|Men's Ice Hockey|Czech Republic|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Zbyněk Michálek||Male|"6'3"" (190 cm)"|214 lbs (97 kg)|1982-12-23||Phoenix Coyotes, Glendale (USA)|Czech Republic|Ice Hockey|2010 Winter|Men's Ice Hockey|Czech Republic|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Michal Michalík||Male|"5'10"" (179 cm)"|150 lbs (68 kg)|1980-07-12||ASC Dukla Praha/PSC Plzeň|Czech Republic|Modern Pentathlon|2004 Summer|Men's Individual|Czech Republic|6|||2008 Summer|Men's Individual|Czech Republic|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Michl||Male|"5'10"" (178 cm)"|152 lbs (69 kg)|1970-11-03||Dukla Liberec, Liberec (CZE)|Czech Republic|Cross Country Skiing|1998 Winter|Men's 10 kilometres|Czech Republic|32|||1998 Winter|Men's 50 kilometres|Czech Republic|17|||1998 Winter|Men's 10/15 kilometres Pursuit|Czech Republic|23|||1998 Winter|Men's 4 × 10 kilometres Relay|Czech Republic|15|||2002 Winter|Men's 15 kilometres|Czech Republic|34|||2002 Winter|Men's 30 kilometres|Czech Republic|24|||2002 Winter|Men's 50 kilometres|Czech Republic|42|||2002 Winter|Men's 4 × 10 kilometres Relay|Czech Republic|7|||2006 Winter|Men's 15 kilometres|Czech Republic|58||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Micka||Male|"6'0"" (183 cm)"|161 lbs (73 kg)|1995-01-15|||Czech Republic|Swimming|2012 Summer|Men's 1,500 metres Freestyle|Czech Republic|24||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Lukáš Milo||Male|"6'0"" (183 cm)"|183 lbs (83 kg)|1983-10-19||SSK Vítkovice, Vítkovice, Ostrava (CZE)|Czech Republic|Athletics|2008 Summer|Men's 100 metres|Czech Republic|5 h5 r1/4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ivo Minář||Male|"6'0"" (183 cm)"|187 lbs (85 kg)|1984-05-21||I. ČLTK Praha, Praha (CZE)|Czech Republic|Tennis|2008 Summer|Men's Singles|Czech Republic|33T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Markéta Mokrošová (-Bednářová)||Female|"5'10"" (177 cm)"|139 lbs (63 kg)|1981-04-17||ZVVZ USK Praha|Czech Republic|Basketball|2008 Summer|Women's Basketball|Czech Republic|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Martina Moravčíková||Female|"5'10"" (178 cm)"|143 lbs (65 kg)|1988-08-13|||Czech Republic|Swimming|2012 Summer|Women's 200 metres Breaststroke|Czech Republic|26||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David Moravec||Male|"6'0"" (182 cm)"|198 lbs (90 kg)|1973-03-24||HC Vítkovice Steel, Ostrava (CZE)|Czech Republic|Ice Hockey|1998 Winter|Men's Ice Hockey|Czech Republic|1|Gold|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ondřej Moravec||Male|"5'11"" (181 cm)"|159 lbs (72 kg)|1984-06-09||SKP Jablonex, Jablonec nad Nisou (CZE)|Czech Republic|Biathlon|2006 Winter|Men's 10 kilometres Sprint|Czech Republic|32|||2006 Winter|Men's 12.5 kilometres Pursuit|Czech Republic|39|||2006 Winter|Men's 4 × 7.5 kilometres Relay|Czech Republic|6|||2010 Winter|Men's 10 kilometres Sprint|Czech Republic|67||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Pavel Mráz||Male|"6'1"" (185 cm)"|187 lbs (85 kg)|1974-06-18|||Czech Republic|Canoeing|1996 Summer|Men's Kayak Fours, 1,000 metres|Czech Republic|5 h1r2/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Kateřina Mrázová||Female|"5'5"" (166 cm)"|115 lbs (52 kg)|1972-07-09||USK Praha, Praha (CZE)|Czech Republic|Figure Skating|1992 Winter|Mixed Ice Dancing|Czechoslovakia|10|||1994 Winter|Mixed Ice Dancing|Czech Republic-1|8|||1998 Winter|Mixed Ice Dancing|Czech Republic|13||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Lenka Mrzilková||Female|"5'7"" (170 cm)"|128 lbs (58 kg)|1988-01-17||YC Neratovice|Czech Republic|Sailing|2008 Summer|Women's Two Person Dinghy|Czech Republic|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaromír Musil||Male|"6'0"" (182 cm)"|179 lbs (81 kg)|1988-05-28||Sokol Praha Vrsovice, Czech Republic|Czech Republic|Judo|2012 Summer|Men's Half-Middleweight|Czech Republic|17T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Michaela Musilová||Female|"5'7"" (170 cm)"|126 lbs (57 kg)|1989-09-25||Dukla Plzeň|Czech Republic|Shooting|2008 Summer|Women's Air Pistol, 10 metres|Czech Republic|35|||2008 Summer|Women's Sporting Pistol, 25 metres|Czech Republic|34||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jiří Mužík||Male|"5'11"" (181 cm)"|170 lbs (77 kg)|1976-09-01||Dukla Praha, Praha (CZE)|Czech Republic|Athletics|2000 Summer|Men's 400 metres Hurdles|Czech Republic|5 h2 r2/3|||2004 Summer|Men's 400 metres Hurdles|Czech Republic|5 h3 r2/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Marta Nedvědová||Female|"5'4"" (163 cm)"|119 lbs (54 kg)|1976-12-08|||Czech Republic|Shooting|1996 Summer|Women's Air Rifle, 10 metres|Czech Republic|6|||1996 Summer|Women's Small-Bore Rifle, Three Positions, 50 metres|Czech Republic|12T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Karel Neffe, Jr.||Male|"6'3"" (190 cm)"|187 lbs (85 kg)|1985-02-21||Dukla Praha, Praha (CZE)|Czech Republic|Rowing|2004 Summer|Men's Coxless Fours|Czech Republic|8|||2008 Summer|Men's Coxless Fours|Czech Republic|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
